SPANISH	Selected_Proto4	score	PORTUGUESE	ITALIAN	FRENCH	Selected_Proto5	ROMANIAN	LATIN-CORRECT	Selected_Proto1	Selected_Proto2	Selected_Proto3	final_proposed_protoform
estaβleθeɾ	stabilʲθeɹ	-4.725372893305611	ʃtɐbɨlɨseɹ	stabilire	etabliʁ	stabilʲseɾ	stabilʲ	stabɪlirɛ	stabilʲreɾ	stabilʲθeɾ	stabilʲreɹ	stabilʲθe
estaβle	stablle	-3.6763864116301606	ʃtavɛl	stabile	stabl	staaile	stabil	stabɪlɛm	stabile	stabɛle	stabβle	stabila
-		-1.2594379124341004	-	staɲɲo	-		-	staŋnʊm	staɲɲo			staɲɲʊm
estaɲo	staɲɲw	-4.799925520206303	ʃtɐ̃ɲʊ	staɲɲo	etɛ̃	etaɲɲw	staniw	stannʊm	staɲɲo	staɲio	etaɲɲo	staɲʊm
estapeðe	sttppeðe	-2.4663913448981742	-	-	stap	ssappeðe	-	stapɛdɛm	stappeðe	staapeðe	sttapeðe	stapaða
estateɾa	statɛraa	-2.267068717974632	-	stadɛra	statɛʁ	statɛeaa	-	stateram	statɛʁɾa	statɛrɾa	statɛʁaa	statɛʁa
-	staʒʒʒo	-2.448388069484059	-	stadʒʒo	etaʒ		-	statɪkʊm	etadʒʒo	etaʒʒʒo	stadʒʒo	stadʒʒa
estatwa	statyəa	-2.3260687066048877	-	statua	staty	statyaa	statwə	statʊam	statwəa	statwaa	statwwa	statwa
estatwiɾ	statuiie	-2.898126001270212	ʃtɐtuiɹ	statuire	statye	statuiiɾ	-	statʊɛrɛ	statuire	statuiɹe	statuirɾ	statuia
estaðo	etatðo	-3.716817418074158	ʃtadʊ	stato	ete	etatoo	stat	statʊm	statʊo	statðo	statoo	statʊm
estelaɾ	stɛllaɾ	-3.06530261978447	ʃtɨlaɹ	-	stɛlɛʁ	stɛllʁɾ	-	stellarɛm	stɛlɛaɾ	stɛlɛʁɾ	stɛlɛɹɾ	stɛlaɾ
-		-1.6594379124341003	-	stellato	-		-	stɛllatʊm	stellato			stellato
-		-1.2094379124341001	-	stɛmma	-		-	stɛmma	stɛmma			stɛmma
esteɾkolaɾ		-1.5990587717096665	-	-	-		-	stɛrkɔrarɛ	esteɾkolaɾ			esteɾkʊmla
estjeɾkol	ʃterkɾʊol	-4.425995423553903	ʃteɾəkʊ	stɛrko	-	ʃterkkkol	ʃterk	stɛrkʊs	ʃterkɾkol	ʃterkokol	ʃterkoʊol	ʃterɾkʊml
-		-1.3873994539038121	-	stɛrnere	-		-	stɛrnɛrɛ	stɛrnere			stɛrnera
-		-1.2094379124341001	-	stilla	-		-	stɪllam	stilla			stilla
-		-1.6917594692280549	-	stillitʃidio	-		-	stɪllɪkɪdɪʊm	stillitʃidio			stillitʃidio
estimulaθjon	estimulaθʊon	-2.5658752760514973	ʃtimulɐsɐ̃ʊ̃	-	-	estimulsθjon	-	stɪmʊlatɪonɛm	estimulaɐjon	estimulaɐʊon	estimulaθjon	estimulsθjʊm
estiβaɾ	stivaae	-2.1005383954796963	-	stivare	-	stivβre	-	stiparɛ	stivare	stivarɾ	stivaaɾ	stivae
estipulaɾ	stipyleae	-2.2538995212749513	-	stipulare	stipyle	stipylere	-	stɪpʊlari	stipylare	stipyleaɾ	stipylerɾ	stipylaa
estiɾpe	stirɾee	-2.9267747856449033	ʃtiɾəpɨ	stirpe	-	stirppɨ	stirpe	stɪrpɛm	stirpeɨ	stirppe	stirpee	stirpɨ
-	ʃtɔlido	-1.8291654750093587	ʃtɔlidʊ	stɔlido	-		-	stɔlɪdʊm	stɔlido	ʃtɔlidʊ	stɔlidʊ	stɔledʊm
-		-2.2463877156524386	-	-	stolɔ̃		-	stɔlonɛm	stolɔ			stolɔ
esteɾa	stɔɪɾa	-3.507485379504903	ʃteɪɾɐ	stuɔia	stɔʁ	stuʁɾa	-	stɔrɛam	stɔʁɾa	stɔɔɾa	stɔeɾa	stɔɾa
estɾaɣo	stradɣe	-3.0028237973779395	ʃtɹaɡʊ	stradʒe	-	stradʊe	-	straɡɛm	stradʒe	stradɣo	stradʒo	straʒʊm
estɾaða	stradaa	-2.6445224377234227	ʃtɹadɐ	strada	-	sttadəa	stradə	stratam	stradəa	stradða	stradɐa	strada
estɾaðo	stratoo	-4.231219409425013	ʃtɹadʊ	strato	ɛstʁad	straado	strat	stratʊm	stratdo	stratʊo	stratðo	stradʊm
estɾena	ettɛnna	-3.703339727275318	eʃtɹɛɪɐ	strɛnna	etʁɛn	ettɛena	-	strenam	ettɛɛna	ettɛnnɐ	ettɛnɪa	eptɛɛna
estɾenwiðad		-1.8647880075172651	-	-	-		-	strenʊɪtatɛm	estɾenwiðad			estɾenwiðad
-	stɹɛnuʊ	-1.7512706647131393	ʃtɹɛnuʊ	strɛnuo	-	ʃtrɛnuo	-	strenʊʊm	strɛnuo	strɛnuʊ	stɹɛnuo	stɹɛnuʊm
estɾepito	sttɛpitoo	-2.170368128650429	ʃtɹɛpitʊ	strɛpito	-	sttɛpitto	-	strɛpɪtʊm	strɛpitʊo	strɛpitoo	strɛpitto	strɛpitʊm
estɾia	strɾaa	-1.4925823589626384	-	stria	-	sttiaa	-	strɪam	strɾia	striaa	striia	stria
-		-1.770263536200091	-	stridere	stʁide		-	stridɛrɛ	stʁidere	stridere		stʁider
estɾiɣa	striɡaa	-3.461722266953347	ʃtɹiɡɐ	streɡa	stʁiʒ	stʁiɡəa	striɡə	striɡam	striɡəa	striɡɐa	striɡɣa	striɡa
estɾixil	etʁidʒile	-3.423356734472876	-	stridʒile	etʁij	etʁiiʒile	-	strɪɡɪlɛm	etʁijxile	etʁijʒile	etʁidxile	etʁiliila
estɾiŋxiɾ	striŋdʒere	-4.755777428157592	ʃtɹiŋʒiɹ	strindʒere	etʁɛ̃dʁ	etriŋdʒere	strɨŋdʒe	strɪŋɡɛrɛ	striŋdʒire	striŋdʒeɾe	etriŋdʒeɾe	striŋdʒia
estɾixe	striiʒe	-3.295685929871263	ʃtɹiʒɨ	stridʒe	-	striixe	-	strɪɡɛm	stridʒe	stridxe	stridɨe	stridʒa
-	strʁppo	-4.073265209079353	ʃtɹovʊ	strɔppo	ɛstʁɔp	stroppo	strup	strɔppʊm	strɔppo	strupʊo	struppo	strɔpʊm
-		-1.441759469228055	-	-	-		strup	strʊppʊm	strup			struqʊa
aβestɾuθ	strutsuo	-6.051459212494283	ɐvɨʃtɹuʃ	strutsso	otʁyʃ	strutssθ	struts	strutʰɪonɛm	strutsuʃ	strutsuθ	strutsso	trutsuʃ
estuðjaɾ	etudjare	-3.2905058698297207	ʃtudaɹ	studjare	etydje	studjaaɾ	studja	stʊderɛ	studjare	studjarɾ	studjaae	studjaa
estuðjo	studioo	-3.9270826989012715	ʃtudjʊ	studio	etyd	etudiwo	studiw	stʊdɪʊm	studijo	studiwo	studiʊo	studjʊm
estulto	stoutto	-2.300317501299328	ʃtuwtʊ	stolto	-	stoutoo	-	stʊltʊm	stoltʊo	stoltoo	stoltto	staʊltʊm
estupeɾ	stupiee	-2.1260885013371187	-	stupire	-	stuppre	-	stʊperɛ	stupire	stupieɾ	stupirɾ	stuprea
-		-4.6594379124341	-	-	stypœʁ		-	stʊporɛm	stypœʁ			stypœʁ
estopa	etoppa	-3.430524338368775	ʃtopɐ	stoppa	etup	etuppa	stupə	stʊppam	stupəa	stoppa	stuppa	stupa
-		-1.4607312068216507	-	stupratore	-		-	stupratorɛm	stupratore			stupratora
estupɾo	stupʁoo	-2.8974632817201136	ʃtupɹʊ	stupro	stypʁ	stuproo	-	stʊprʊm	stupʁɾo	stupʁʊo	stuprɾo	stupʁʊm
estoɾnino	etuʁnoiɲo	-4.379460321717314	ʃtuɾəniɲʊ	storno	etuʁno	etuʁnoiɲʊ	-	stʊrnʊm	etuʁnoino	etuʁnnino	etuʁnoinʊ	etuʁʊminʊm
-	storakʃe	-2.182630505222629	ʃtuɾakɨ	storatʃe	-	stoɾatʃe	-	styrakɛm	storakɨe	storatʃe	storatɨe	staʊrakɨa
swaðiɾ	suadere	-3.027017128644246	suɐdiɹ	suadere	-	suadeɾe	-	sʊaderɛ	suadiɾe	suadiɹe	suadire	suadiɾa
swaβe	swave	-3.5002943569292344	suavɨ	soave	syav	suave	-	sʊawɛm	soave	syave	syavɨ	syava
swaβiðad	syavited	-2.402405809654492	-	soavita	syavite	soavited	-	sʊawɪtatɛm	syavitad	soavitad	swavitad	swavita
-		-1.7594379124341002	-	-	-		salbə	sʊbalbʊm	salbə			salvə
-		-1.3094379124341002	-	subdolo	-		-	sʊbdɔlʊm	subdolo			subdolʊm
suβiɾ	subire	-3.7259885512626107	subiɹ	subire	sybiʁ	sujiʁe	suj	sʊbirɛ	subiʁe	subiɾe	subiɹe	subia
suβeɾoso	suberoɾo	-4.3769216065076915	subɾɨiɾʊ	suɡero	sybeʁø	suberoɾʊ	suber	subɛrɛm	suberøso	suberoso	suberosʊ	subersʊm
suβjaθeɾ	sodʒʒaeʃɛre	-2.8476499264844204	-	sodʒʒatʃɛre	-	sodʒʒθtʃɛre	-	sʊbɪakerɛ	sodʒʒaeɾɛre	sodʒʒatʃɛre	sodʒʒatɾɛre	sʊmdʒʒaeɾɛra
-		-1.9929693050586228	-	-	syʒesjɔ̃		-	sʊbɪɛktɪonɛm	syʒesjɔ			syʒasjɔ
suxeto	suʒeʒktto	-4.837422712898249	suʒeɪtʊ	sodʒʒetto	syʒɛ	suʒeeetto	subjekt	sʊbɪɛktʊm	suʒeektto	suʒeeotto	suʒeettto	suʒɛekptʊm
suβitaneo	subitanio	-3.0085802413125977	subitɐ̃niʊ	subitaneo	sudɛ̃	subitɐneo	-	sʊbɪtanɛʊm	subitaneo	suditaneo	subitaneʊ	subitanɛʊm
supito	supito	-2.598715112860963	subitʊ	subito	sybi	supitʊ	subit	sʊbɪtʊm	subito	subitʊ	sybito	subita
soxuθɣaɾ	sobʒuɡaɾre	-4.096766790723057	subʒuɡaɹ	sodʒʒoɡare	sybʒyɡe	sobʒuɡaare	subʒuɡa	sʊbɪʊɡarɛ	subʒuɡaɾre	subʒuɡaɹre	subʒuɡaare	subʒuɡuara
suβjuɣaɾ	sybʒyɣaɾ	-2.6444178452730847	-	-	sybʒyɡe	sybʒuɡeɾ	-	sʊbjʊɡarɛ	sybʒyɡeɾ	sybʒyɡaɾ	sybʒyɣeɾ	sybʒyɣa
soleβaɾ	sulleaare	-4.209604758673494	sulɨvaɹ	sollevare	sulve	sulleaɾre	-	sʊblɛwarɛ	sulveaare	sulveaɾre	sulveaɹre	sulveaɾa
suβlimaθjon	sublimasjɔnne	-3.6295822907107675	sublimɐsɐ̃ʊ̃	sublimatsione	syblimasjɔ̃	sublimasjinne	-	sʊblimatɪonɛm	sublimasjɔone	sublimasjione	sublimasjoone	sublɛmasjiona
suministɾaɾ	somministaɾre	-1.946155564046369	-	somministrare	-	somminisɾrare	-	sʊbmɪnɪstrarɛ	somministrare	somministrɾre	somministaare	somministrae
-		-5.063588592261358	-	-	səmɔ̃dʁ		-	sʊbmɔnerɛ	səmɔdʁ			səmɔdʁ
soβoɾnaɾ	suboɾnarɹ	-3.5165215501605864	subuɾənaɹ	subornare	sybɔʁne	suboɾnaae	-	sʊbornarɛ	suboɾnaɾe	suboɾnare	suboɾnaɾɹ	subaɾnaɾa
sonreiɾ	suʁiddere	-5.077048350495714	suʁiɹ	sorridere	suʁiʁ	suʁiddɾre	suɾɨde	sʊbriderɛ	suʁideɾre	suʁideere	suʁidiere	suʁider
suβɾoɣaɾ	surroɣare	-2.3980474670708025	-	surroɡare	-	surɾoɡare	-	sʊbrɔɡarɛ	surroɣaɾe	surroɡare	surroɡaɾe	surrʊmɣaɾa
-		-1.2107312068216507	-	subsannare	-		-	sʊbsannarɛ	subsannare			subsannara
suskɾiβiɾ	suskʁiʁere	-3.7062290924490497	subskɹɨveɹ	soskrivere	suskʁiʁ	suskʁiʁeee	-	sʊbskribɛrɛ	suskʁiʁeɾɹ	suskʁiʁerɹ	suskʁiʁeɾe	suskʁiʁer
-	susseɡwɹre	-2.2756240518579176	subsɨɡiɹ	susseɡwire	-	susseɡiire	-	sʊbsɛkwi	sussɨɡwire	susseɡiɹre	susseɡwire	sussɨɡwira
suβsiðjo	sussidjo	-2.222588722239781	-	sussidio	sybsid	suβsidio	-	sʊbsɪdɪʊm	sussidio	subsidio	subsidjo	subsidʊm
suβstanθja	substantjə	-2.477139482088379	-	sostantsa	sybstɑ̃s	substantaə	substantsə	sʊbstantɪam	substantsə	substantsa	substantaa	substantsa
sustituθjon	substitysjɔʊe	-3.2523489619616575	substituɪsɐ̃ʊ̃	sostitutsione	sybstitysjɔ̃	substitysjnne	-	sʊbstɪtutɪonɛm	substitysjone	substitysjɔne	substitysjoʊe	substitysjʊa
-		-1.5433394641097815	-	sostrutsione	-		-	sʊbstrʊktɪonɛm	sostrutsione			sostrutsiona
subtil	sobtilɾe	-2.81539995204375	subtil	sottile	sybtil	sybtilee	subtsiɾe	sʊbtilɛm	subtilɾe	subtilee	sybtilɾe	subtila
-	syttilita	-1.7497628856597576	-	sottilita	sybtilite	sobtilite	-	sʊbtilɪtatɛm	sybtilite	sybtilita	syttilite	syttilta
sustɾakθjon	sustraksjone	-3.544907463083126	subtɹɐsɐ̃ʊ̃	sottratsione	sustʁaksjɔ̃	sustʁaksjɔne	-	sʊbtraktɪonɛm	sustʁaksjone	sustɾaksjone	sustɹaksjone	sustɹaksjuna
sustɾaeɾ	sustraʁʒe	-4.2594751918750084	subtɹɐiɹ	sottrarre	sustʁɛʁ	sustradre	sustradʒe	sʊbtrahɛrɛ	sustradʒe	sustradɾe	sustradɹe	sustradɹa
suβiʎa	subɛla	-4.180051357200842	suvɛlɐ	subbia	sybyl	subəla	sulə	subʊlam	subyla	subbla	subila	subbla
-	sybuʁbɛno	-2.4371752469668104	-	suburbano	sybyʁbɛ̃	sybyrbano	-	sʊbʊrbanʊm	sybyʁbɛno	sybyʁbano	sybyrbɛno	sybuʁbɛna
subβeniɾ	suvvenire	-2.7677953150778603	-	sovvenire	suvniʁ	suvnenire	-	sʊbwɛnirɛ	suvveniɾe	suvβenire	suvneniɾe	suvvania
-		-1.9594379124341001	-	-	sybvɛʁtiʁ		-	sʊbwɛrtɛrɛ	sybvɛʁtiʁ			sybvɛʁtiʁ
-		-2.0594379124341002	-	sutʃʃedaneo	-		-	sʊkkedanɛʊm	sutʃʃedaneo			sutʃʃedaneo
-		-2.0094379124341	-	sutʃʃidere	-		-	sʊkkɪdɛrɛ	sutʃʃidere			sutʃʃidere
-	sykkllɛnto	-2.3902671654458265	-	sukkulɛnto	sykyl	sukyllɛnto	-	sʊkkʊlɛntʊm	sykyulɛnto	sykkulɛnto	sykyllɛnto	sykyulɛnta
sukumbiɾ	sukumbbɾre	-3.1013208460736954	sukũmbiɹ	sokkombere	sykɔ̃be	sukumbbere	-	sʊkkʊmbɛrɛ	sukumbiere	sukumbiɾre	sukumbiɹre	sukumber
sokoreɾ	sokuʁeɾere	-4.039030832031349	sukuʁeɹ	sokkɔrrere	səkuʁiʁ	sokuʁeɹere	-	sʊkkʊrrɛrɛ	sokuʁiʁere	sokuʁerere	sokuʁeʁere	sukuʁarera
sakuðiɾ	səkuðiɹ	-3.1279324508527813	sɐkudiɹ	-	səkwe	səkudiɾ	-	sʊkkʊtɛrɛ	səkueiɾ	səkueiɹ	səkuðiɾ	səkue
-		-1.9094379124341003	-	sutʃʃino	-		-	sukɪnʊm	sutʃʃino			sutʃʃino
xuɣoso	suɣozʊ	-2.6727409165122133	sukozʊ	suɡozo	-	suɡozʊ	-	sukosʊm	suɡozo	suɣozo	sukozo	suɣʊmzʊm
suðaɾjo	sudarjʊ	-4.681159754521337	sudaɾjʊ	sudario	syɛʁ	sudaɾjo	sudar	sudarɪʊm	sudario	sudarjo	sudaɾjʊ	sudɛrjʊm
suðaɾ	suuaae	-4.758992060944417	suaɹ	sudare	sye	sueaae	asuda	sudarɛ	suuaɾe	suuare	sueare	suuaa
sufiθjɛnθja	sufitjjɛntsə	-3.915227163651373	sufisjeɪŋsjɐ	suffitʃɛntsa	syfizɑ̃s	sufitjjentsə	sufitʃjentsə	sʊffɪkɪɛntɪam	sufitjjentsa	sufitjjɛntsa	sufitjjentsɐ	sufitjɛntsa
-		-1.7594379124341002	-	-	syfiʁ		-	sʊffɪkɛrɛ	syfiʁ			syfiʁ
sufɾaɣaɾ		-1.9873994539038122	-	-	-		-	sʊffraɡarɛ	sufɾaɣaɾ			sufɾaɣaɾ
sufɾutiθe	suffruiitʃe	-2.1116176545058227	-	suffrutitʃe	-	suffrutθeʃe	-	sʊffrʊtɪkɛm	suffrutitʃe	suffrutieʃe	suffrutθtʃe	suffrutieʃa
-		-1.4607312068216507	-	suffondere	-		-	sʊffʊndɛrɛ	suffondere			suffondera
-	syɡʒeie	-2.3197938426874956	suʒɨɾiɹ	-	syɡʒeʁe	syɡʒɾʁe	-	sʊɡɡɛrɛrɛ	syɡʒeʁe	syɡʒeiɹ	syɡʒeʁɹ	syɡʒɨaia
-		-1.8594379124341003	suʒɛʃtʊ	-	-		-	sʊɡɡɛstʊm	suʒɛʃtʊ			suʒɛʃtʊ
sukθjonaɾ	sukʒjaraɾ	-5.506980156598713	suɡaɹ	sukkjare	syse	sukʒjanaɾ	sudʒe	suɡɛrɛ	sukʒjareɾ	sukʒjaneɾ	sukʒjoreɾ	sukʒjara
swino	saino	-2.5382475738060304	-	suino	-	sujno	sajn	sʊinʊm	sajno	suino	swino	sainʊm
sulkaɾ	sulkare	-2.580730026015827	suwkaɹ	solkare	-	suwkare	-	sʊlkarɛ	sulkaɾe	sulkaɹe	suwkaɾe	sulkaɹa
suɾko	sukko	-2.6560306094624133	sukʊ	solko	-	sulʊo	sulk	sʊlkʊm	sulko	suɾko	solko	sulkʊm
suma	soməa	-3.3688870822939014	somɐ	somma	sɔm	sumaa	sumə	sʊmmam	suməa	sumɐa	summa	suma
sumaɾjo	sumɛʁjo	-2.460906520343541	-	-	sɔmɛʁ	sɔmaɾjo	-	sʊmmarɪʊm	sɔmɛʁjo	sɔmɛɾjo	sɔmaʁjo	sɔmaʁja
sumeɾxiɾ	submɛrdʒere	-3.8794580357814734	submɨɾəʒiɹ	sommɛrdʒere	sybmɛʁʒe	submɛrʒʒere	submerdʒe	sʊmmɛrɡɛrɛ	submɛrdʒiɹe	submɛrdʒire	submɛrdʒeɹe	submɛrdʒer
sumeɾsjon	submersjune	-3.927673555096802	submɨɾəsɐ̃ʊ̃	sommersione	sybmɛʁsjɔ̃	submersjnne	submersjune	sʊmmɛrsɪonɛm	submersjone	submersjɔne	submersjɐne	submersjuna
sumiðad	sumiiaaɨ	-2.6681005369557114	sumidadɨ	sommita	-	sumiðaaɨ	-	sʊmmɪtatɛm	sumidadɨ	sumiðadɨ	sumiiadɨ	sumiiada
someteɾ	sumetetere	-4.6143945495778	submɨteɹ	sommettere	sumɛtʁ	sumeteeere	sumete	sʊmmɪttɛrɛ	sumeteɾɹre	sumetetɹre	sumeteɾere	sumetaera
sumo	sommo	-2.063364379840764	sumʊ	sommo	-	somoo	-	sʊmmʊm	sumʊo	summo	sumoo	sumʊm
sumiɾ	sumɛre	-2.55805020110221	sumiɹ	sumɛre	-	sumɛɾe	-	sumɛrɛ	sumiɾe	sumiɹe	sumire	sumiɹa
-	sɔntyøzo	-2.505111913945341	-	sontuozo	sɔ̃ptyø	sɔptuozo	-	sʊmptʊosʊm	sɔptyøzo	sɔptyozo	sɔptuøzo	sɔntyøza
-	sunpoʊ	-2.090637324496985	sũmptʊ	sunto	-	sumtoʊ	-	sumptʊm	sunptʊ	suntoʊ	sunttʊ	sunpta
-		-2.1764919970972665	-	suovetaurilia	-		-	sʊɔwɛtaʊrilɪa	suovetaurilia			suovetaurilia
-	supɛrbia	-2.042197251683733	-	supɛrbia	sypɛʁb		-	sʊpɛrbɪam	sypɛʁbia	sypɛrbia	supɛʁbia	spɛʁbia
soβeɾβjo	superboʊ	-4.45485676048929	subeɾəbʊ	supɛrbo	sypɛʁb	superbjʊ	superb	sʊpɛrbʊm	superbjo	superbbo	superboo	superbʊm
-	syʁkʁwareʃere	-3.3127863582171573	-	soprakkreʃere	syʁkʁwatʁ	syʁkʁwktʁʃere	-	sʊpɛrkreskɛrɛ	syʁkʁwatʁʃere	syʁkʁwateʃere	syʁkʁwarʁʃere	syʁkʁwateʃer
supeɾjoɾ	supeɾjoɾe	-3.8677102521900526	supɛɾioɹ	superiore	sypeʁjœʁ	supeɾiore	supeɾjor	sʊpɛrɪorɛm	supeɾjore	supeɾjoʁe	supeɾjoɹe	supeɾjor
supeɾnatuɾal	sypnanyʁɛlrlle	-3.792865752756058	-	soprannaturale	syʁnatyʁɛl	sypnanyʁɛlalle	-	sʊpɛrnaturalɛm	sypnanyʁɛurale	sypnanyʁɛlrale	sypnanyʁɛlaale	spnanyʁɛurala
-		-1.4135885922613587	-	supɛrno	-		-	sʊpɛrnʊm	supɛrno			spɛrnʊm
supeɾaɾ	supeɾare	-2.9683456366966983	supɛɾaɹ	superare	-	supəɾare	supəɾa	sʊpɛrarɛ	supeɾaɹe	supeɾaɾe	supəɾaɾe	supeɾae
soβɾeponeɾ	supɾrponeɾe	-4.924042790473619	subɾɨpuɹ	sovrappɔrre	sypɛʁpoze	supɾʁpunere	superpune	sʊpɛrponɛrɛ	supɾrpunere	supɾrpuneɾe	supɾrponere	supɾʁpuner
soβɾeseeɾ	soʁswseedɛre	-4.353701657564412	-	soprassedɛre	syʁswaʁ	soʁswssedɛre	-	sʊpɛrsɛderɛ	soʁswsʁedɛre	soʁswsʁeɾɛre	soʁswsseɾɛre	sʊmʁswxeɾɛra
-		-1.3917594692280548	-	supero	-		-	sʊpɛrʊm	supero			suprʊm
supeɾβakaneo	supeɾvakaneiʊ	-2.7265118647240225	supɛɾəvɐkɐ̃niʊ	supervakaneo	-	supeɾβakaneiʊ	-	sʊpɛrwakanɛʊm	supeɾvakaneoʊ	supeɾβakaneoʊ	supeɾəakaneoʊ	supeɾvakanea
supeɾβakaneo	supeɾβakanniʊ	-2.663558108688	supɛɾəvɐkɐ̃niʊ	-	-	supeɾβakaɐeoʊ	-	sʊpɛrwakʊʊm	supeɾβakaneoʊ	supeɾβakaneiʊ	supeɾβakannoʊ	supeɾβakanea
soβɾeβeniɾ	syʁɾəniɹiɾ	-3.920825869117686	subɾɨviɹ	-	syʁvəniʁ	syʁɾəβiʁiɾ	-	sʊpɛrwɛnirɛ	syʁɾəβiniɾ	syʁɾəniʁiɾ	syʁɾəniniɾ	syʁɾəβɨniɾ
supino		-1.6635885922613585	supinʊ	supino	-		-	sʊpinʊm	supino	supinʊ		supinʊm
suplemɛnto	suplemɛnto	-2.3466112457375283	-	-	syplemɑ̃		-	sʊpplemɛntʊm	syplemɑnto	syplemɛnto	suplemɑnto	syplemɑntʊm
supliɾ	supliire	-3.3927324126258305	supɹiɹ	supplire	syplee	supleere	-	sʊpplerɛ	supliere	supliɾre	supliɹre	supliia
-	suplikatsɔeone	-3.4625854090200727	-	supplikatsione	syplikasjɔ̃	suplikatsseone	suplikatsje	sʊpplɪkatɪonɛm	suplikatsjione	suplikatsjeone	suplikatsɔione	suplkatsjiona
supliθjo	supliθjo	-2.920085660698769	suplisjʊ	-	syplis	supliθjʊ	-	sʊpplɪkɪʊm	suplisjʊ	syplisjo	suplisjo	suplesjʊm
suplikaɾ	suplikkare	-4.113677496005685	suplikaɹ	supplikare	syplie	suplikkɾre	suplika	sʊpplɪkarɛ	suplikaɾre	suplikaɹre	suplikaare	suplikkae
suponeɾ	supozere	-4.662327582559616	supoɹ	suppɔrre	sypoze	supoɔere	supune	sʊpponɛrɛ	suponeɾe	suponere	supozeɾe	supunera
-		-1.3635885922613584	-	-	sypʁime		-	sʊpprɪmɛrɛ	sypʁime			spʁima
suputaɾ	sypytaɾ	-1.978231705849268	-	-	sypyte	syputaɾ	-	sʊppʊtarɛ	sypyteɾ	syputeɾ	supyteɾ	supyta
-		-1.2594379124341004	-	-	syʁdite		-	sʊrdɪtatɛm	syʁdite			syʁdpta
soɾðo	surddʊ	-4.5182283219552275	suɾədʊ	sordo	suʁ	suɾddʊ	surd	sʊrdʊm	surdoʊ	suɾdoʊ	surðoʊ	suɾdʊm
suɾðiɾ	suɾʒiɾre	-4.0238043494477695	suɾəʒiɹ	sordʒere	syʁʒiʁ	suɾʒiere	-	sʊrɡɛrɛ	suɾʒiʁre	suɾʒiʁɹe	suɾʒieɹe	suɾʒer
-		-1.9094379124341003	suʁipiaɹ	-	-		-	sʊrrɪpɛrɛ	suʁipiaɹ			suʁipiaɹ
-	syr	-2.6737533668352156	-	-	sys		sor	sʊɛm	sor	sys	sos	sʊs
susθitaɾ	susitaae	-3.3173623185155106	susitaɹ	suʃitare	sysite	susitaaɾ	suʃta	sʊskɪtarɛ	susitaɹe	susitare	susitarɾ	susitaa
-	suppɔɪsɐʊ	-2.7355773452501513	suʃpeɪsɐ̃ʊ̃	-	supsɔ̃	suʃsɔɪsɐʊ	-	sʊspɛktɪonɛm	suppeɪsɐʊ	supsɔɪsɐʊ	supseɪsɐʊ	supsɔsɐʊ
suspendeɾ	suspendere	-3.4151629274966204	suʃpeɪŋdeɹ	sospɛndere	syspɑ̃dʁ	suspendeee	-	sʊspɛndɛrɛ	suspendeɾɹ	suspenderɹ	suspendeɾe	suspander
suspensjon	suspesjeone	-4.479651464043016	suʃpeɪŋsɐ̃ʊ̃	sospensione	syspɑ̃sjɔ̃	suspesjjone	supensje	sʊspensɪonɛm	suspesjɔone	suspesjsone	suspesjione	suspesjona
-		-1.777220948090484	-	-	syspisjɔ̃		-	sʊspɪkɛrɛ	syspisjɔ			syspisjɔ
suspiɾo	suspiɾʊ	-2.9201425016281473	suʃpiɾʊ	sospiro	supiʁ	suspiro	suspin	sʊspɪrɪʊm	suspiɾo	suspino	suspinʊ	suspiɾa
suspiɾaɾ	suspinaɾe	-2.9899460478689868	suʃpiɾaɹ	sospirare	supiʁe	suspinare	suspina	sʊspirarɛ	suspiɾaɹe	suspiɾaɾe	suspiɾare	suspiɾaa
sustentakulo	sustentakullʊ	-2.372433047652396	suʃteɪŋtakulʊ	sostentakolo	-	sustentakollʊ	-	sʊstɛntakʊlʊm	sustentakuloʊ	sustentakoloʊ	sustentakkloʊ	sustentakulʊ
sustentaɾ	sustentarɹ	-3.013611718709592	suʃteɪŋtaɹ	sostentare	systɑ̃te	sustentaae	-	sʊstɛntarɛ	sustentaɾe	sustentaɾɹ	sustentare	sustentaa
sosteneɾ		-1.7897997302973438	-	-	-		-	sʊstɪnerɛ	sosteneɾ			sʊmsteeɾ
-		-2.1601086078962513	susuʁɐsɐ̃ʊ̃	-	-		-	sʊsʊrratɪonɛm	susuʁɐsɐʊ			susuʁɐsɐʊ
susuro	sussrrro	-1.8252908618525774	-	sussurro	-	sussroro	-	sʊsʊrrʊm	sussurro	sussuoro	susuurro	suxurʊm
-		-1.921956841931875	sutil	-	-		-	sutɪlɛm	sutil			sutil
sutoɾjo		-1.4635885922613585	-	-	-		-	sutorɪʊm	sutoɾjo			stʊmɾjʊm
sutuɾa	sutuʁa	-2.922693314690119	sutuɾɐ	sutura	sytyʁ	sutuʁɐ	-	suturam	sutuɾa	sutuɾɐ	sutura	sutuɾa
sikofanta	sikofatta	-1.9582855246956439	-	-	sikofɑ̃t		-	syːkɔpʰantam	sikofɑnta	sikofɑtta	sikofanta	sikufɑnta
sinopsis	sinossis	-1.8641827701349265	-	sinɔssi	sinɔpsi		-	synɔpsɛm	sinɔpsis	sinɔssis	sinopsis	sinɔpsis
-		-2.041759469228055	-	-	sɛ̃tɛz		-	syntʰɛsɛm	sɛtɛz			sɛtɛz
