final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
ʁeɣosilje	-	ʁekɔ̃silje	rikontʃiliare	rekonθiljaɾ	ʁekuŋsiliaɹ	rɛkɔŋkɪlɪarɛ
riɣordabile	-	-	rikordabile	-	-	rɛkɔrdabɪlɛm
rekoɾðaɾ	-	ʁəkɔʁde	rikordare	rekoɾðaɾ	ʁɨkuɾədaɹ	rɛkɔrdari
rekeβɾaɾ	-	-	-	rekeβɾaɾ	-	rɛkrɛparɛ
rettaŋɡul	rektaŋɡul	ʁɛktɑ̃ɡl	rettaŋɡolo	rektaŋɡulo	ʁɛtɐ̃ŋɡulʊ	rɛktaŋɡʊlʊm
ʁettityd	-	ʁɛktityd	-	rektitud	-	rɛktɪtudɪnɛm
rekoreɾ	-	-	-	rekoreɾ	ʁɨkuʁeɹ	rɛkʊrrɛrɛ
rekursione	-	ʁekyʁsjɔ̃	rekursione	rekuɾsjon	ʁekuɾəsɐ̃ʊ̃	rɛkʊrsɪonɛm
reɣaθjon	-	ʁekyzasjɔ̃	rikuzatsione	rekusaθjon	ʁekuzɐsɐ̃ʊ̃	rɛkusatɪonɛm
rikuza	rekuza	ʁekyze	rikuzare	rekusaɾ	ʁekuzaɹ	rɛkusarɛ
ɐɣuʤɹ	-	-	-	-	ɐkudiɹ	rɛkʊtɛrɛ
ʁədaʁɡe	-	ʁədaʁɡe	-	reðaɾɣuiɾ	ʁedɐɾəɡwiɹ	rɛdarɡwɛrɛ
ʁeʤzjo	-	ʁɛdisjɔ̃	-	-	-	rɛddɪtɪonɛm
redemdzjune	redemptsjune	ʁɑ̃sɔ̃	redentsione	reðenθjon	ʁɨdensɐ̃ʊ̃	rɛdɛmptɪonɛm
reʤðʒere	-	ʁediʒe	redidʒere	reðaktaɾ	ʁediʒiɹ	rɛdɪɡɛrɛ
ʁeʤtʊ	-	-	-	reðito	ʁɛditʊ	rɛdɪtʊm
ridudzione	reduktsie	ʁedyksjɔ̃	ridutsione	reðukθjon	ʁedusɐ̃ʊ̃	rɛdʊktɪonɛm
redudʃe	-	-	rɛdutʃe	-	-	rɛdʊkɛm
refetsione	-	ʁefɛksjɔ̃	refetsione	refekθjon	ʁefeɪsɐ̃ʊ̃	rɛfɛktɪonɛm
riferire	-	ʁefeʁe	riferire	refeɾiɾ	ʁefɨɾiɹ	rɛfɛrrɛ
rifare	-	ʁəfɛʁ	rifare	reaθeɾ	ʁefɐzeɹ	rɛfɪkɛrɛ
riʎeddere	-	ʁefleʃiʁ	riflettere	reflexaɾ	ʁeflɨtiɹ	rɛflɛktɛrɛ
ʁeʎuɾiɹ	-	ʁəfløʁiʁ	refiorire	refloɾaɾ	ʁefluɾiɹ	rɛflorerɛ
riʎuire	-	ʁəflye	rifluire	refluiɾ	ʁefluiɹ	rɛflʊɛrɛ
refoɾmaθjon	reformatsje	ʁefɔʁmasjɔ̃	riformatsione	refoɾmaθjon	ʁefuɾəmɐsɐ̃ʊ̃	rɛfɔrmatɪonɛm
riformare	reforma	ʁefɔʁme	riformare	refoɾmaɾ	ʁefuɾəmaɹ	rɛformarɛ
refɾenaɾ	-	ʁəfʁene	-	refɾenaɾ	ʁefɹiaɹ	rɛfrenarɛ
ʁefʁiʒeʁazjo	refridʒeɾatsje	ʁefʁiʒeʁasjɔ̃	refridʒeratsione	refɾixeɾaθjon	ʁefɹiʒeɾɐsɐ̃ʊ̃	rɛfriɡɛratɪonɛm
ʁefɹiʒɛɾjʊ	-	-	-	refɾixeɾjo	ʁefɹiʒɛɾjʊ	refriɡɛrɪʊm
ɐʁɨfɨzeɹ	-	-	-	-	ɐʁɨfɨseɹ	rɛfriɡeskɛrɛ
refulxiɾ	-	-	-	refulxiɾ	-	rɛfʊlɡerɛ
reðʒʒa	-	-	rɛdʒʒa	-	-	reɡɪam
rexjo	-	-	rɛdʒo	rexjo	-	reɡɪʊm
reɲare	-	ʁeɲe	reɲare	reɪnaɾ	ʁeɪnaɹ	reŋnarɛ
reðʒʒere	-	ʁeʒiʁ	rɛdʒʒere	rexiɾ	ʁɨʒeɹ	rɛɡɛrɛ
reɡreʤre	-	-	reɡredire	-	-	rɛɡrɛdi
ʁɛɡl	reɡulə	ʁɛɡl	rɛɡola	reɣla	-	reɡʊlam
reɡular	reɡular	ʁeɡylje	reɡolare	reɣulaɾ	ʁeɡulaɹ	reɡʊlarɛm
reɡolarita	reɡulaɾitate	ʁeɡylaʁite	reɡolarita	reɣulaɾiðad	ʁeɡulɐɾidadɨ	reɡʊlarɪtatɛm
reɡolare	reɡula	ʁeɡle	reɡolare	reɣlaɾ	ʁɨɡɹaɹ	reɡʊlarɛ
relatiβo	-	ʁəlatif	relativo	relatiβo	ʁelɐtivʊ	rɛlatiwʊm
ʁəlaɣzazjo	-	ʁəlaksasjɔ̃	-	relaxaθjon	ʁelɐʃɐsɐ̃ʊ̃	rɛlaksatɪonɛm
ʁəlakse	relaksa	ʁəlakse	rilassare	relaxaɾ	ʁelɐʃaɹ	rɛlaksarɛ
releɡatsione	-	ʁəleɡasjɔ̃	releɡatsione	releɣaθjon	ʁelɨɡɐsɐ̃ʊ̃	rɛleɡatɪonɛm
releɡare	-	ʁəleɡe	releɡare	releɣaɾ	ʁelɨɡaɹ	rɛlɛɡɛrɛ
releva	releva	ʁəlve	rilevare	relβaɾ	ʁɛlvaɹ	rɛlɛwarɛ
rileɡare	-	ʁəlje	rileɡare	reliɣaɾ	ʁeliɡaɹ	rɛlɪɡarɛ
relinɣiɾ	-	-	-	relinkiɾ	-	rɛlɪŋkwɛrɛ
ʁəlik	-	ʁəlik	relikwja	relikja	ʁelikiɐ	relɪkwɪas
ʁəlik	-	ʁəlik	-	relikja	-	rɛlɪkwʊm
riludʃere	-	ʁəlyiʁ	rilutʃere	-	-	rɛlukerɛ
rəmɨne	rəmɨne	-	rimanɛre	remaniɾ	-	rɛmanerɛ
ʁəmemoʁazjo	-	ʁəmemoʁasjɔ̃	-	-	-	rɛmɛmɔratɪonɛm
remembɾaɾ	-	ʁəmemoʁe	rimembrare	remembɾaɾ	-	rɛmɛmɔrari
remeθeɾ	-	-	-	remeθeɾ	ʁemɨʃeɹ	rɛmɪskerɛ
ʁəmeðʁ	-	ʁəmɛtʁ	-	-	-	rɛmɪttɛrɛ
remoθjon	-	-	-	remoθjon	-	rɛmotɪonɛm
rimuɔvere	-	ʁəmuvwaʁ	rimuɔvere	remoβeɾ	ʁemuveɹ	rɛmɔwerɛ
ʁemyneʁe	-	ʁemyneʁe	-	remuneɾaɾ	-	rɛmunɛrarɛ
ramə	ramə	ʁam	rɛmo	remo	ʁemʊ	remʊm
rene	rɨnə	ʁɛ̃	rene	rene	ʁiŋ	renɛm
renovatsje	renovatsje	ʁenovasjɔ̃	rinnovatsione	renoβaθjon	ʁenuvɐsɐ̃ʊ̃	rɛnɔwatɪonɛm
ʁenuŋziaɹ	renuntsa	ʁənɔ̃se	rinuntʃare	renunθjaɾ	ʁenũŋsiaɹ	rɛnʊntɪarɛ
renwiɾ	-	-	-	renwiɾ	ʁenuiɹ	rɛnʊɛrɛ
ripaɾare	repaɾa	ʁepaʁe	ripaɾare	repaɾaɾ	ʁepɐɾaɹ	rɛpararɛ
ripozare	repauza	ʁəpoze	ripozare	reposaɾ	ʁepuwzaɹ	rɛpaʊsarɛ
rebeʎere	-	-	repɛllere	repeleɾ	ʁepɨliɹ	rɛpɛllɛrɛ
repeɾɣjon	-	ʁepɛʁkysjɔ̃	riperkussione	repeɾkusjon	ʁepɨɾəkusɐ̃ʊ̃	rɛpɛrkʊtɛrɛ
ʁəβeʁðuʁ	-	ʁəpɛʁtuʁ	-	-	-	rɛpɛrtorɛm
repeta	repeta	ʁepete	ripetere	repetiɾ	ʁepɨtiɹ	rɛpɛtɛrɛ
rebletsione	-	-	repletsione	-	-	rɛpletɪonɛm
replikatsje	replikatsje	ʁeplikasjɔ̃	replikatsione	replikaθjon	ʁeplikɐsɐ̃ʊ̃	rɛplɪkatɪonɛm
replika	replika	ʁəplie	replikare	replikaɾ	ʁeplikaɹ	rɛplɪkarɛ
rəpune	rəpune	ʁəpoze	ripɔrre	reponeɾ	ʁɨpoɹ	rɛponɛrɛ
ribrendere	-	ʁəpʁɑ̃dʁ	riprɛndere	repɾendeɾ	ʁepɹieɪŋdeɹ	rɛprɛhɛndɛrɛ
reprensibile	-	ʁepʁeɑ̃sibl	reprensibile	repɾensiβle	ʁepɹieɪŋsivɛl	rɛprɛhɛnsɪbɪlɛm
ʁeβʁeɑzjo	-	ʁepʁeɑ̃sjɔ̃	riprensione	repɾensjon	ʁepɹieɪŋsɐ̃ʊ̃	rɛprɛhɛnsɪonɛm
ʁepʁime	-	ʁepʁime	-	-	-	rɛprɪmɛrɛ
reβɾoβaɾ	-	ʁepʁuve	riprovare	repɾoβaɾ	ʁepɹuvaɹ	rɛprɔbarɛ
retaɾ	-	-	-	repptaɾ	-	reptarɛ
ribudjare	-	-	ripudjare	repuðjaɾ	-	rɛpʊdɪarɛ
ʁepuɡnaɹ	repuɡna	ʁepyɲe	ripuɲare	repuɡnaɾ	ʁepuɡnaɹ	rɛpʊŋnarɛ
repoʎaɾ	-	-	-	repoʎaɾ	-	rɛpʊllʊlarɛ
rebutare	-	ʁepyte	reputare	repptaɾ	ʁɨptaɹ	rɛpʊtarɛ
ʁeɣiɨ	-	-	-	-	ʁɛkiɨ	rɛkwɪɛm
ʁeɣɨɾeɹ	-	-	-	-	ʁekɨɾeɹ	rɛkwirɛrɛ
ʁɨʃ	-	ʁiɛ̃	-	res	ʁɨʃ	rɛm
rebuβlika	-	-	-	repuβlika	-	rɛspublɪkam
resaɾθiɾ	-	ʁəzaʁsiʁ	rizartʃire	resaɾθiɾ	ʁɨsɐɾəsiɹ	rɛsarkirɛ
ʁesiŋʤɹ	-	ʁɛsɛ̃de	reʃindere	resθindiɾ	ʁesiŋdiɹ	rɛskɪndɛrɛ
rezekare	-	-	rezekare	rasɣaɾ	ʁɐʒɡaɹ	rɛsɛkarɛ
rizervatsione	-	ʁezɛʁvasjɔ̃	rizervatsione	reseɾβaθjon	ʁezɨɾəvɐsɐ̃ʊ̃	rɛsɛrwatɪonɛm
ʁezide	-	ʁezide	rizedere	-	-	rɛsɪderɛ
ʁeziɲe	-	ʁeziɲe	rasseɲare	reseɲaɾ	-	rɛsɪŋnarɛ
ʁɨsunaɹ	rəsuna	ʁezɔne	rizonare	resonaɾ	ʁɨsunaɹ	rɛsɔnarɛ
risplendere	-	ʁɛsplɑ̃diʁ	risplɛndere	resplandeθeɾ	-	rɛsplɛnderɛ
rəspuns	rəspuns	ʁepɔ̃s	respɔnso	responso	ʁeʃpoŋsʊ	rɛsponsʊm
rebubliɣə	republikə	ʁepyblik	repubblika	repuβlika	ʁepublikɐ	rɛmpublɪkam
restoratsione	-	ʁɛstoʁasjɔ̃	restauratsione	restaʊɾaθjon	ʁeʃtaʊɾɐsɐ̃ʊ̃	restaʊratɪonɛm
ristorare	-	ʁɛstoʁe	ristorare	restaʊɾaɾ	ʁeʃtaʊɾaɹ	rɛstaʊrarɛ
resta	-	-	rɛsta	rista	ʁɛʃtɨ	rɛstɛm
restituire	restituj	ʁɛstitye	restituire	restitwiɾ	-	rɛstɪtʊɛrɛ
reststutsione	-	-	restitutsione	-	-	rɛstɪtutɪonɛm
restare	-	ʁɛste	restare	restaɾ	ʁɨʃtaɹ	rɛstarɛ
ʁestʁe	-	ʁɛstʁɛ̃	-	-	-	rɛstrɪktʊm
restrɨŋðʒe	restrɨŋdʒe	ʁɛstʁɛ̃dʁ	restrindʒere	restɾiŋxiɾ	ʁeʃtɹiŋʒiɹ	rɛstrɪŋɡɛrɛ
reze	rezuma	ʁezyme	rezumere	resumiɾ	ʁezumiɹ	rɛsumɛrɛ
rizuʃitatsione	-	ʁezysitasjɔ̃	rizuʃitatsione	resuθitaθjon	ʁɨsusitɐsɐ̃ʊ̃	rɛsʊskɪtatɪonɛm
ritardare	-	ʁətaʁde	ritardare	retaɾðaɾ	-	rɛtardarɛ
retsea	retsea	ʁɛ	rete	red	ʁedɨ	retɛ
retsjario	-	ʁetjɛʁ	retsjario	reθjaɾjo	ʁesiaɾjʊ	retɪarɪʊm
reʤðʃere	-	-	retitʃere	retiθeɾ	-	rɛtɪkerɛ
reʤnaɣulo	-	ʁetinakl	-	retinakulo	-	rɛtɪnakʊlʊm
retsine	retsine	ʁətniʁ	ritenɛre	reteneɾ	ʁɨteɹ	rɛtɪnerɛ
ridordʃere	-	ʁetɔʁke	ritɔrtʃere	retoɾθeɾ	-	rɛtɔrkwerɛ
ʁeðɹɐzɐʊ	-	ʁetʁaksjɔ̃	retratsione	retɾakθjon	ʁetɹɐsɐ̃ʊ̃	rɛtraktɪonɛm
ritrattare	-	ʁetʁakte	ritrattare	retɾataɾ	ʁetɹɐtaɹ	rɛtraktarɛ
retradʒe	retradʒe	ʁətʁɛʁ	ritrarre	retɾaeɾ	ʁetɹɐiɹ	rɛtrahɛrɛ
ʁeðʁibye	-	ʁetʁibye	retribuire	retɾiβwiɾ	ʁetɹibuiɹ	rɛtrɪbʊɛrɛ
redɾoθeðeɾ	-	ʁetʁosede	retrotʃedere	retɾoθeðeɾ	ʁetɹusɨdeɹ	rɛtrokedɛrɛ
rivenire	revenʲi	ʁəvniʁ	rivenire	reβeniɾ	ʁɨviɹ	rɛwɛnirɛ
ʁeveʁβeʁe	-	ʁevɛʁbeʁe	-	reβeɾβeɾaɾ	-	rɛwɛrbɛrarɛ
reβeɾende	-	-	reverɛnte	reβeɾɛnte	ʁevɨɾeɪŋtɨ	rɛwɛrɛntɛm
ʁeveʁɑz	-	ʁeveʁɑ̃s	-	-	-	rɛwɛrɛntɪam
revərsa	revərsa	-	-	reβesaɾ	ʁevɨɾəsaɹ	rɛwɛrsarɛ
riversare	-	ʁəvɛʁse	riversare	reβeɾtiɾ	-	rɛwɛrti
rivedere	revedea	ʁəvwaʁ	rivedɛre	reβeɾ	ʁɨveɹ	rɛwɪderɛ
reβenθeɾ	-	-	-	reβenθeɾ	-	rɛwɪŋkɛrɛ
ʁevize	-	ʁevize	-	-	-	rɛwisɛrɛ
ʁevuɡɐzɐʊ	-	ʁevokasjɔ̃	revokatsione	reβokaθjon	ʁevuɡɐsɐ̃ʊ̃	rɛwɔkatɪonɛm
ʁevoke	revoka	ʁevoke	revokare	reβokaɾ	ʁevuɡaɹ	rɛwɔkarɛ
ʁɨvulveɹ	-	-	rivoldʒere	reβolβeɾ	ʁɨvulveɹ	rɛwɔlwɛrɛ
retoɾ	-	ʁetœʁ	-	retoɾ	-	rhetɔrɛm
ʁym	-	ʁym	reuma	-	-	rhɛʊma
ʁoboid	-	ʁɔ̃bɔid	-	-	-	rhɔmbɔidɛm
ronkaɾ	-	-	-	ronkaɾ	ʁuŋkaɹ	rhɔŋkʰarɛ
ʁitʊ	-	ʁiktys	-	riktus	ʁitʊ	rɪktʊm
ride	rɨde	ʁiʁ	ridere	reiɾ	ʁiɹ	riderɛ
riʤɣa	ridika	-	-	roðɾiɣon	-	rɪdɪkam
ʁiʒiʤde	-	ʁiʒidite	-	-	-	rɪɡɪdɪtatɛm
ʁiʒidʊ	ridʒid	ʁiʒid	ridʒido	rixiðo	ʁiʒidʊ	rɪɡɪdʊm
reɣaɾ	-	-	-	reɣaɾ	ʁɨɡaɹ	rɪɡarɛ
riɣuɾoso	-	-	riɡorozo	riɣuɾoso	ʁiɡuɾozʊ	rɪɡɔrɔsʊm
reɲiɾ	-	-	-	reɲiɾ	-	rɪŋɡi
riva	rɨpə	ʁiv	riva	riβa	ʁibɐ	ripam
ʁizʊ	rɨs	ʁi	rizo	risa	ʁizʊ	risʊm
rit	rit	ʁit	rito	rito	ʁitʊ	ritʊm
rivolo	-	-	rivolo	-	-	riwʊlʊm
ʁiʊ	ryw	ʁy	rivo	rio	ʁiʊ	riwʊm
rizza	-	ʁiks	rissa	rixa	ʁiʃɐ	rɪksam
rudʒinos	rudʒinos	ʁybiʒinø	rubidʒinozo	-	ʁubiʒinozʊ	robiɡɪnosʊm
roβin	rudʒinə	ʁuj	-	roβin	ʁubiʒeɪŋ	robiɡɪnɛm
rovere	-	ʁuvʁ	rovere	roβle	ʁoblɨ	robʊr
ruɡəminde	ruɡəminte	-	-	-	-	rɔɡamɛntʊm
roɣaðoɾ	-	-	-	roɣaðoɾ	-	rɔɡatorɛm
roɡare	ruɡa	-	roɡare	roɣaɾ	ʁuɡaɹ	rɔɡarɛ
rɔɡo	ruɡ	-	rɔɡo	-	-	rɔɡʊm
ʁomɛ	roman	ʁomɛ̃	romano	romano	ʁumɐ̃ʊ̃	romanʊm
roɾaɾ	rowɾa	-	-	roɾaɾ	ʁuɾaɹ	rorarɛ
rudʒada	rowə	ʁoʁik	rudʒada	-	-	rorɛm
rozmaɾin	rozmaɾin	ʁomaʁɛ̃	rozmarino	-	ʁuʒmɐɾiɲʊ	rosmarinʊm
ruθjo	-	-	-	ruθjo	ʁusʊ	roskɪdʊm
rozmarin	rozmaɾin	ʁomaʁɛ̃	rozmarino	rosmaɾino	ʁuʒmɐniɲʊ	rorɛmmarinʊm
rostro	rost	ʁɔstʁ	rɔstro	rostɾo	ʁɔʃtɹʊ	rostrʊm
rodeʎa	-	ʁwɛl	rotɛlla	roðiʎa	ʁudɛlɐ	rɔtɛllam
rotar	-	ʁode	rotare	rotaɾ	ʁutaɹ	rɔtarɛ
roibə	roibə	-	rɔbbia	ruβja	ʁuivɐ	rʊbɪam
ʁybiɣo	-	ʁybikɔ̃	-	-	-	rʊbɪkʊndʊm
ruβoɾ	-	-	-	ruβoɾ	ʁuboɹ	rʊborɛm
rubrika	-	ʁybʁik	rubrika	ruβɾika	ʁubɹikɐ	rʊbrikam
ruɡ	ruɡ	-	rovo	-	-	rʊbʊm
ruttare	-	ʁote	ruttare	rutaɾ	-	rʊktarɛ
ɐʁotʊ	-	ʁo	rutto	-	ɐʁɔtʊ	ruktʊm
rude	-	ʁyd	rude	ruðo	ʁudɨ	rʊdɛm
rudere	-	-	rudere	-	-	rudʊs
rufo	-	-	rufo	rufo	-	rufʊm
ʁuɡɐ	-	ʁy	ruɡa	ruɣa	ʁuɡɐ	ruɡam
rudʒ	rudʒʲ	ʁyʒiʁ	rudʒʒire	ruxiɾ	ʁuʒiɹ	ruɡirɛ
ruɣoso	-	ʁyɡø	-	ruɣoso	-	ruɡosʊm
rovinozo	ruinos	ʁyinø	rovinozo	ruinoso	ʁuinozʊ	rʊinosʊm
romiðʃe	-	ʁɔ̃s	rɔmitʃe	romaθa	-	rʊmɪkɛm
minar	-	ʁymine	ruminare	-	ʁuminaɹ	rumɪnari
more	-	ʁymœʁ	rumore	rumoɾ	ʁumoɹ	rumorɛm
runa	-	-	-	runa	-	runam
ʁuiɹ	-	ʁye	-	ruiɾ	ʁuiɹ	rʊɛrɛ
rube	-	-	rupe	rupe	-	rupɛm
ʁyʃ	-	ʁyʃ	-	-	-	rʊskam
ʁuʃʤɣɐnʊ	-	-	rustikano	-	ʁuʃtikɐ̃nʊ	rustɪkanʊm
ruta	rutə	ʁy	ruta	ruða	ɐʁudɐ	rutam
ʁabl	-	ʁabl	-	-	-	rʊtabʊlʊm
ʁuʤlaɹ	-	-	-	rutilaɾ	ʁutilaɹ	rʊtɪlarɛ
ʁuʤlʊ	-	-	-	-	ʁutilʊ	rʊtɪlʊm
ʁodʊ	-	-	-	-	ʁɔdʊ	rʊtrʊm
zaβana	-	-	-	saβana	-	sabanʊm
sabatssm	-	sabatism	-	-	-	sabbatɪsmʊm
zabbione	-	sablɔ̃	sabbione	saβlon	-	sabʊlonɛm
zabbia	-	sabl	sabbia	-	saɪbɹʊ	sabʊlʊm
zaβura	-	-	dzavɔrra	saβura	sɐbuʁɐ	sabʊrram
zaɣɣarino	-	-	sakkarino	-	-	sakkʰarʊm
zaɣɣulo	səkui	sakyl	sakkulo	-	sakulʊ	sakkʊlʊm
zakru	sakru	-	sakro	sakɾo	sakɹʊ	sakrʊm
zadʃerdode	satʃerdot	-	satʃerdɔte	saθeɾðote	sɐsɨɾədɔtɨ	sakɛrdotɛm
satʃerdotsio	satʃerdotsiw	sasɛʁdɔs	satʃerdɔtsio	saθeɾðoθjo	sɐsɨɾədɔsjʊ	sakɛrdotɪʊm
zaɡoma	-	-	saɡoma	-	-	sakoma
zakramentale	-	sakʁamɑ̃tal	sakramentale	-	-	sakramɛntalɛm
zakrario	-	-	sakrario	saɣɾaɾjo	sɐkɹaɾjʊ	sakrarɪʊm
zɐɡɹɐzɐʊ	-	-	-	-	sɐɡɹɐsɐ̃ʊ̃	sakratɪonɛm
zaɣrifiɣale	-	-	sakrifikale	-	-	sakrɪfɪkalɛm
zaɣʁifiɣatœʁ	-	sakʁifikatœʁ	sakrifikatore	sakɾifikaðoɾ	sɐkɹifikɐdoɹ	sakrɪfɪkatorɛm
zakrifiðʃi	sakrifitʃiw	sakʁifis	sakrifitʃo	sakɾifiθjo	sɐkɹifisjʊ	sakrɪfɪkɪʊm
zɐɣɹifiɣulʊ	-	-	-	-	sɐkɹifikulʊ	sakrɪfɪkʊlʊm
zaɣrifiɣo	-	-	sakrifiko	-	-	sakrɪfɪkʊm
zakrileɡ	sakrileɡ	sakʁilɛʒ	sakrileɡo	sakɾileɣo	sɐkɹilɨɡʊ	sakrɪlɛɡʊm
zɐgɹiʃʤɐ	-	-	-	-	sɐkɹiʃtiɐ	sakrɪstɪam
zakrare	sakra	sakʁe	sakrare	-	sɐɡɹaɹ	sakrarɛ
zeβe	-	-	sjɛpe	seβe	sɛbɨ	saɪpɛm
zetʊ	-	-	-	-	sɛtʊ	saɪptʊm
zwa	-	swa	seta	seða	sɛtɐ	saɪtam
zeviʁ	-	seviʁ	-	-	-	saɪwirɛ
zaɡa	-	-	saɡa	-	-	saɡam
zəðʒetar	sədʒetar	saʒitɛʁ	sadʒittario	saxitaɾjo	sɐʒitaɾjʊ	saɡɪttarɪʊm
zəðʒeta	sədʒeta	-	saettare	-	sɐʒitaɹ	saɡɪttarɛ
zalma	-	sɔm	salma	-	-	saɡmam
zomje	-	sɔmje	somiɛre	-	sumeɪɾʊ	saɡmarɪʊm
zaɡoɣlamid	-	saɡɔklamid	-	-	-	saɡɔkʰlamydɛm
salaside	-	salasite	-	salaθiðad	sɐlɐsidadɨ	salakɪtatɛm
zalario	salaɾiw	salɛʁ	salario	salaɾjo	sɐlaɾjʊ	salarɪʊm
zalatʃe	-	salas	salatʃe	-	-	salakɛm
zəltʃet	səltʃet	sosɛ	salitʃeto	salθeðo	-	salɪketʊm
zəninə	səninə	-	salina	salina	sɐlinɐ	salinam
zaliβaɾ	-	-	salivare	saliβaɾ	-	saliwarɛ
zaltʃje	saltʃje	-	salitʃe	salθe	sɑlɡeɪɾʊ	salɪkɛm
salsa	-	-	salsa	salsa	sɑlsɐ	salsam
saltatsione	saltatsje	saltasjɔ̃	saltatsione	saltaθjon	-	saltatɪonɛm
za	salt	so	salto	soto	sowtʊ	saltʊm
zalubre	-	salybʁ	salubre	saluβɾe	sɐlubɹɨ	salubrɛm
zalyβʁide	-	salybʁite	salubrita	saluβɾiðad	sɐlubɹidadɨ	salubrɪtatɛm
zalud	salut	saly	salute	salud	sɐudɨ	salutɛm
zalutare	-	salytɛʁ	salutare	-	sɐlutaɹ	salutarɛm
salutatsje	salutatsje	salytasjɔ̃	salutatsione	saluðaθjon	saʊdɐsɐ̃ʊ̃	salutatɪonɛm
zalutare	-	salye	salutare	saluðaɾ	saʊdaɹ	salutarɛ
zalvifiko	-	-	salvifiko	-	-	salwɪfɪkʊm
zalvare	salva	sove	salvare	salβaɾ	sɑlvaɹ	salwarɛ
zof	-	sof	salvo	salβo	sɑlvʊ	salwʊm
zaβuko	sok	syʁo	sambuko	saβuko	sɐbukʊ	sambukʊm
sansa	-	-	sansa	-	-	sampsam
zanaβle	-	-	sanabile	sanaβle	-	sanabɪlɛm
zanaθjo	-	sanasjɔ̃	sanatsione	sanaθjon	-	sanatɪonɛm
zandʃire	-	-	santʃire	-	-	saŋkirɛ
zɑɣzjo	-	sɑ̃ksjɔ̃	-	sanθjon	sɐ̃ŋsɐ̃ʊ̃	saŋktɪonɛm
santsðað	-	sɛ̃tte	santita	santiðad	sɐ̃ŋtidadɨ	saŋktɪtatɛm
zant	sɨnt	sɛ̃	santo	santo	sɐ̃ŋtʊ	saŋktʊm
zandone	-	-	sandone	-	-	sandones
zaŋɡwinario	-	sɑ̃ɡinɛʁ	saŋɡwinario	saŋɡinaɾjo	-	saŋɡwɪnarɪʊm
zaŋɡwinare	sɨŋdʒeɾa	sɛɲe	saŋɡwinare	saŋɡɾaɾ	sɐ̃ŋɡɹaɹ	saŋɡwɪnarɛ
zɑɡinolɑ	-	sɑ̃ɡinolɑ̃	saŋɡwinolɛnto	saŋɡinolɛnto	-	saŋɡwɪnɔlɛntʊm
zaŋɡwinozo	sɨŋdʒeɾos	-	saŋɡwinozo	saŋɡinoso	sɐ̃ŋɡwinozʊ	saŋɡwɪnosʊm
zaŋɡwizuɡa	-	-	saŋɡwizuɡa	-	-	saŋɡwɪsuɡam
sanjes	-	-	-	sanjes	sɐ̃njɨ	sanɪɛm
zɐɾaɹ	-	-	sanare	sanaɾ	sɐɾaɹ	sanarɛ
sənətos	sənətos	sɛ̃	sano	sano	sɐ̃ʊ̃	sanʊm
zabid	-	sapid	-	saβjo	sabjʊ	sapɪdʊm
sabjentsə	sapjentsə	sapjɑ̃s	sapjɛntsa	sapjɛnθja	-	sapɪɛntɪam
zavwaʁ	-	savwaʁ	sapere	saβeɾ	sɐbeɹ	sapɛrɛ
zapone	səpun	savɔ̃	sapone	xaβon	sɐbɐ̃ʊ̃	saponɛm
zapore	savɔaɾe	savœʁ	sapore	saβoɾ	sɐboɹ	saporɛm
zabe	-	sapɛ̃	-	-	-	sappɪnʊm
zarðʃina	sartʃinə	-	sartʃina	saɾθina	-	sarkɪnam
zɨɾəziɹ	-	-	-	suɾθiɾ	sɨɾəziɹ	sarkirɛ
zatʃo	-	-	sarkio	satʃo	saʃʊ	sarkʊlʊm
zardonidʃe	-	-	sardɔnitʃe	-	-	sardɔnykʰa
zaʁ	-	saʁ	saɾaɡo	saɾɣo	saɾəɡʊ	sarɡʊm
zarmento	-	saʁmɑ̃	sarmento	saɾmjɛnto	sɐɾəmeɪŋtʊ	sarmɛntʊm
zeɾβoʎo	-	-	-	seɾpoʎo	-	sarpɛrɛ
zadelid	-	satɛlit	satɛllite	satelite	-	satɛllɪtɛm
ʁasazje	-	ʁasazje	-	saθjaɾ	sɐsiaɹ	satɪarɛ
satsɾɐ	-	-	satira	-	satiɾɐ	satɪram
zatiriko	-	satiʁik	satiriko	satiɾiko	sɐtiɾikʊ	satɪrɪkʊm
zatzzfatʃe	satisfatʃe	-	-	-	sɐtiʃfɐzeɹ	satɪsfakɛrɛ
satssfattsie	satisfaktsie	satisfaksjɔ̃	soddisfatsione	satisfakθjon	sɐtiʃfɐsɐ̃ʊ̃	satɪsfaktɪonɛm
satsβo	-	-	-	satiβo	-	satiwʊm
zaturo	-	-	saturo	-	-	satʊrʊm
zantoreðʒʒa	-	saʁjɛt	santoredʒʒa	-	-	satʊrejam
zatyʁe	satuɾa	satyʁe	saturare	satuɾaɾ	sɐtuɾaɹ	satʊrarɛ
satsr	satir	satiʁ	satiro	satiɾo	satiɾʊ	satyrʊm
zaɣziʊ	-	-	-	-	saksiʊ	saksɛʊm
zaxo	-	-	sasso	saxo	seɪʃʊ	saksʊm
skabje	skabje	-	skabbia	-	-	skabɪɛm
skalare	skalar	ɛskalje	skalare	eskalaɾ	ʃkɐleɪɾɐ	skalarɛm
